STATION NAME: ,"MAXIMUM VALUE BETWEEN TICKET GATE AND PLATFORM?: At stations with multiple lines and/or ticket offices, the highest value or combination is used. Entry point is used for stations without gates.","DETAILS OF MAXIMUM INTERCHANGE VALUES BETWEEN LINES (where appropriate) – all values apply in both directions. However, in some cases there may be lower values according to station layout.",,
,District: 2 minutes,C2C to National Express East Anglia: 5 minutes,,
,National Express East Anglia: 2.5 minutes,District to National Express East Anglia: 4.5 minutes,,
Upminster Bridge,2 minutes,,,
Upney,2 minutes,,,
Upper Holloway,4 minutes,,,
Upton Park,4 minutes,District to Hammersmith & City: 4 minutes,,
Uxbridge,Metropolitan: 1 minute,Metropolitan to Piccadilly: 1 minute,,
,Piccadilly: 1 minute,,,
Vauxhall,South West Trains,South West Trains to Victoria: 9 minutes,,
,Victoria: 2 minutes,,,
Victoria,Circle: 3 minutes,Circle to District: 2 minutes,,
,District: 3 minutes,Circle to Southern: 10 minutes,,
,Southern (inc Gatwick Express),Circle to Southeastern: 10 minutes,,
,Southeastern,Circle to Victoria: 4 minutes,,
,Victoria: 3 minutes,District to Southern: 10 minutes,,
,,District to Southeastern: 10 minutes,,
,,District to Victoria: 4 minutes,,
,,Southern to Southeastern: 10 minutes,,
,,Southern to Victoria: 10 minutes,,
,,Southeastern to Victoria: 10 minutes,,
Walthamstow Central ,National Express East Anglia: 3 minutes,National Express East Anglia to Victoria: 4 minutes,,
,Victoria: 3 minutes,,,
Walthamstow Queens Road,3 minutes,,,
Wanstead,2 minutes,,,
Wanstead Park,2 minutes,,,
Wapping,4 minutes,,,
Warren Street,Northern: 6 minutes,Northern to Victoria: 6 minutes,,
,Victoria: 4 minutes,,,
Warwick Avenue,2 minutes,,,
Waterloo ,Bakerloo: 6 minutes,Bakerloo to Jubilee: 6 minutes,,
,Jubilee: 6 minutes,Bakerloo to Northern: 4 minutes,,
,Northern: 6 minutes,Bakerloo to South West Trains: 10 minutes,,
,South West Trains: 6 minutes,Jubilee to Northern: 6 minutes,,
,,Jubilee to South West Trains: 11 minutes,,
,,Northern to South West Trains: 10 minutes,,
Watford High Street,2 minutes,,,
Watford,2 minutes,,,
Watford Junction,London Overground: 4 minutes,London Overground to London Midland: 5 minutes,,
,London Midland: 4 minutes,London Overground to Southern: 5 minutes,,
,Southern: 4 minutes,London Overground to Virgin Trains: 5 minutes,,
,Virgin Trains: 4 minutes,London Midland to Southern: 5 minutes,,
,,London Midland to Virgin Trains: 5 minutes,,
,,Southern to Virgin Trains: 5 minutes,,
Wembley Central,Bakerloo: 2.5 minutes,Bakerloo to London Overground: 5 minutes,,
,London Overground: 2.5 minutes,Bakerloo to Southern: 5 minutes,,
,Southern: 2.5 minutes,London Overground to Southern: 5 minutes,,
Wembley Park,Jubilee: 2 minutes,Jubilee to Metropolitan: 4 minutes,,
,Metropolitan: 2 minutes,,,
West Acton,2 minutes,,,
Westbourne Park,Circle: 2 minutes,Connections between Circle and Hammersmith & City lines: 4 minutes,,
,Hammersmith & City: 2 minutes,,,
West Brompton,District: 2 minutes,District to London Overground: 5 minutes,,
,London Overground: 3 minutes,District to Southern: 5 minutes,,
,Southern: 3 minutes,London Overground to Southern: 5 minutes,,
West Croydon,London Overground: 2 minutes,London Overground to Southern: 4 minutes,,
,Southern: 2 minutes,,,
Westferry,2 minutes,Interchange between different DLR branches: 4 minutes,,
West Finchley,3 minutes,,,
West Ham,C2C: 2.5 minutes,C2C to District: 4.5 minutes,,
,District: 2 minutes,C2C to DLR: 5.5 minutes,,
,DLR: 3 minutes,C2C to Hammersmith & City: 4.5 minutes,,
,Hammersmith & City: 2 minutes,C2C to Jubilee: 5.5 minutes,,
,Jubilee: 3 minutes,District to DLR: 5 minutes,,
,,District to Hammersmith & City: 5 minutes,,
,,District to Jubilee: 5 minutes,,
,,DLR to Hammersmith & City: 5 minutes,,
,,DLR to Jubilee: 3 minutes,,
,,Hammersmith & City to Jubilee,,
West Hampstead ,Jubilee: 1 minute,Jubilee to London Overground: 3.5 minutes,,
,London Overground: 1.5 minutes,,,
West Harrow,2 minutes,,,
West India Quay,3 minutes,Interchange between different DLR branches,,
West Kensington,2 minutes,,,
Westminster,Circle: 2 minutes,Circle to District: 4 minutes,,
,District: 2 minutes,Circle to Jubilee: 6 minutes,,
,Jubilee: 6 minutes,District to Jubilee: 6 minutes,,
West Ruislip,Central: 2 minutes,Central to Chiltern Railways: 5 minutes,,
,Chiltern Railways: 3 minutes,,,
West Silvertown,1 minute,,,
Whitechapel,Hammersmith & City: 3 minutes,Hammersmith & City  to District: 2 minutes,,
,District: 3 minutes,Hammersmith & City  to London Overground: 5 minutes,,
,London Overground: 2 minutes,District to London Overground: 5 minutes,,
White City,2 minutes,,,
Willesden Green,2 minutes, ,,
Willesden Junction,Bakerloo: 2 minutes,Bakerloo to London Overground (Watford): 4 minutes,,
,London Overground (Watford): 2 minutes,Bakerloo to London Overground (North/West London Lines): 5 minutes,,
,London Overground (North/West London Lines): 6 minutes,London Overground (Watford) to London Overground (North/West London Lines): 5 minutes,,
,,London Overground (between North and West London Lines): 3 minutes,,
Wimbledon ,District: 2 minutes,District to South West Trains: 5 minutes,,
,South West Trains: 3 minutes,District to Tramlink: 4 minutes,,
,Tramlink: 2 minutes,South West Trains to Tramlink: 5 minutes,,
,,,,
Wimbledon Park,2 minutes,,,
Woodford,3 minutes,Connections between different branches: 3 minutes,,
Woodgrange Park,4 minutes,,,
Wood Green,2 minutes,,,
Wood Lane,2 minutes,,,
Woodside Park,3 minutes,,,
Woolwich Arsenal,DLR: 4 minutes,DLR to Southeastern: 4 minutes,,
,Southeastern: 4 minutes,,,
